01.01.2024	378	54
02.01.2024	198	173
03.01.2024	318	111
04.01.2024	211	147
05.01.2024	303	171
06.01.2024	352	97
07.01.2024	202	210
08.01.2024	206	95
09.01.2024	229	32
10.01.2024	181	206
11.01.2024	310	74
12.01.2024	123	139
13.01.2024	70	171
14.01.2024	294	187
15.01.2024	142	149
16.01.2024	410	218
17.01.2024	182	215
18.01.2024	100	178
19.01.2024	110	206
20.01.2024	214	47
21.01.2024	200	208
22.01.2024	146	49
23.01.2024	137	45
24.01.2024	338	198
25.01.2024	85	73
26.01.2024	184	122
27.01.2024	352	39
28.01.2024	91	35
29.01.2024	337	56
30.01.2024	353	39
31.01.2024	173	62
01.02.2024	426	67
02.02.2024	384	69
03.02.2024	264	178
04.02.2024	258	86
05.02.2024	431	213
06.02.2024	429	123
07.02.2024	343	96
08.02.2024	339	102
09.02.2024	95	197
10.02.2024	210	81
11.02.2024	76	40
12.02.2024	268	110
13.02.2024	278	175
14.02.2024	191	80
15.02.2024	100	50
16.02.2024	210	209
17.02.2024	438	209
18.02.2024	356	194
19.02.2024	234	205
20.02.2024	157	129
21.02.2024	175	150
22.02.2024	255	147
23.02.2024	141	51
24.02.2024	245	176
25.02.2024	134	123
26.02.2024	248	126
27.02.2024	234	48
28.02.2024	112	168
29.02.2024	333	57
01.03.2024	318	112
02.03.2024	150	137
03.03.2024	288	181
04.03.2024	160	60
05.03.2024	403	119
06.03.2024	228	84
07.03.2024	436	157
08.03.2024	168	116
09.03.2024	150	140
10.03.2024	384	107
11.03.2024	360	90
12.03.2024	445	218
13.03.2024	434	204
14.03.2024	359	97
15.03.2024	440	158
16.03.2024	93	117
17.03.2024	233	124
18.03.2024	158	43
19.03.2024	263	125
20.03.2024	245	197
21.03.2024	431	136
22.03.2024	195	126
23.03.2024	181	115
24.03.2024	231	139
25.03.2024	423	56
26.03.2024	182	102
27.03.2024	374	134
28.03.2024	148	61
29.03.2024	217	101
30.03.2024	284	56
31.03.2024	186	170
01.04.2024	286	29
02.04.2024	224	185
03.04.2024	373	173
04.04.2024	100	184
05.04.2024	179	40
06.04.2024	211	206
07.04.2024	177	191
08.04.2024	449	128
09.04.2024	137	142
10.04.2024	264	199
11.04.2024	214	33
12.04.2024	410	208
13.04.2024	183	161
14.04.2024	103	79
15.04.2024	432	220
16.04.2024	247	165
17.04.2024	239	32
18.04.2024	257	50
19.04.2024	275	116
20.04.2024	268	143
21.04.2024	218	154
22.04.2024	329	54
23.04.2024	446	129
24.04.2024	385	141
25.04.2024	255	98
26.04.2024	217	212
27.04.2024	177	186
28.04.2024	414	33
